__id,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3
947dc739-6bfa-4685-8ad9-fd14ec06e7c0,0.2775,0.38587499999999997,3,0,0,1.0,0.38587499999999997,3,3,0.2775,0.38587499999999997,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3
09404ac7-a276-4151-95e6-7520c820b6fc,0.1502534402030664,0.15,1,0,0,0.35019377693873843,0.15,1,1,0.1502792585296479,0.15,1,1,0,0,3.0,4.0,4.0,5.0,4.0,3.0,24.0,17.0,16.0,17.0,20.0,16.0,2,1,1
50283a25-09bd-48df-8528-c20d6993d9d9,0.4082283162377307,0.7275094749609375,8,0,0,1.3015283524099204,0.7275094749609375,8,8,0.4087478144346365,0.7275094749609375,3,8,0,0,1.0,3.0,3.0,3.0,3.0,1.0,19.0,15.0,10.0,16.0,18.0,10.0,5,8,8
35fea902-1c34-2a6b-dce7-91b9886fb4bd,0.235,0.38587499999999997,3,0,0,0.5194292380272347,0.38587499999999997,3,3,0.25625,0.38587499999999997,2,3,0,0,4.0,4.0,4.0,4.0,4.0,4.0,17.0,12.0,11.0,11.0,15.0,11.0,4,3,3
7a4d6b50-2630-4416-b66a-e044d9598c60,0.17124999999999999,0.15,1,0,0,0.4126032965817259,0.15,1,1,0.17124999999999999,0.15,1,1,0,0,7.0,8.0,8.0,8.0,8.0,7.0,23.0,18.0,18.0,18.0,21.0,18.0,2,1,1
cd78c063-e8ed-8c13-706e-002ab14ef816,0.8486142659463602,0.993513854344429,31,0,4,3.256729109290348,0.9954596980411002,31,31,0.8223763283708857,0.9797672825268142,5,24,0,4,4.0,4.0,3.0,3.0,3.0,3.0,16.0,9.0,7.0,9.0,13.0,7.0,5,24,24
32807e02-ebfb-f2e4-5afa-c745340b94bb,0.15271276595744682,0.15,1,0,0,0.2703423569249145,0.15,1,1,0.15271276595744682,0.15,1,1,0,0,4.0,4.0,5.0,5.0,4.0,4.0,17.0,12.0,9.0,12.0,16.0,9.0,2,1,1
2702961b-84f3-1f2c-71c1-778d88e46d9f,1.08304423407705,0.9999973448128877,79,0,36,6.430340026638712,0.9999977430909546,79,79,1.077866696189549,0.9989145873469535,5,42,0,9,2.0,3.0,3.0,3.0,4.0,2.0,16.0,12.0,8.0,11.0,12.0,8.0,5,42,42
837ad05a-425e-95ef-ac60-883f89524b2b,3.2596819254224303,0.9999999256447741,101,2,28,10.73558868097714,0.9999999623948446,103,103,3.2985768738163905,0.9999997271272979,5,93,2,21,3.0,3.0,3.0,3.0,3.0,3.0,14.0,11.0,9.0,10.0,14.0,9.0,5,95,95
03bce55f-0f22-4c9f-95aa-27b8ea1ec07e,0.7892476979073368,0.9797672825268142,24,0,4,3.044560324725117,0.9797672825268142,24,24,0.755871926723574,0.9612404689154856,5,20,0,2,3.0,3.0,3.0,4.0,4.0,3.0,18.0,12.0,12.0,11.0,15.0,11.0,5,20,20
c4fc3087-32d2-3f43-3a5d-7d3205872301,0.8068564130823304,0.8972303304691157,14,0,0,2.631780543245808,0.928061231328381,14,14,0.8106124999999997,0.8972303304691157,3,14,0,0,3.0,5.0,5.0,5.0,4.0,3.0,27.0,20.0,19.0,20.0,23.0,19.0,5,14,14
a63f32f7-ed44-0c70-9553-a9f4f6231daf,0.43333333333333324,0.7275094749609375,8,0,0,1.3296306382694492,0.7275094749609375,8,8,0.42321428571428565,0.67942291171875,3,7,0,0,4.0,4.0,5.0,5.0,4.0,4.0,17.0,13.0,12.0,10.0,16.0,10.0,5,7,7
7a34f561-8c3c-4af1-9dfb-efbe6479de78,0.31575,0.38587499999999997,3,0,0,0.8821441985373302,0.47799375,3,3,0.31575,0.38587499999999997,2,3,0,0,5.0,7.0,5.0,7.0,6.0,5.0,28.0,25.0,24.0,24.0,27.0,24.0,4,3,3
4b39f7df-2014-46da-97c6-60b1d77b5224,0.15490384615384614,0.15,1,0,0,0.4123076534035799,0.15,1,1,0.1551,0.15,1,1,0,0,5.0,5.0,5.0,6.0,6.0,5.0,30.0,23.0,23.0,23.0,27.0,23.0,2,1,1
