uuid,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3,spath,w_spath
9b5bfcd0-d360-6a0a-7cc8-bb920d91ca3e,0.15139960158905574,0.15,1,0,0,0.2138469155779696,0.15,1,1,0.15295608481024167,0.15,1,1,0,0,3.0,2.0,3.0,3.0,3.0,2.0,20.0,15.0,14.0,13.0,19.0,13.0,2,1,1,2.0,8.0
1cf0f7b7-d6d8-419e-ac70-a877fb73b30f,0.2348596657955941,0.9368865766993456,17,0,2,1.3637712830464552,0.9368865766993456,17,17,0.24251594644417185,0.925748913763936,5,16,0,2,3.0,2.0,3.0,3.0,3.0,2.0,17.0,10.0,9.0,9.0,14.0,9.0,5,16,16,0.0,0.0
46deaeff-77c6-49f6-bceb-0b99047f4683,0.9234999999999998,0.9126457808987484,15,0,0,3.300606302412562,0.938852046629124,15,15,0.9362499999999998,0.9126457808987484,3,15,0,0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,13.0,13.0,14.0,18.0,13.0,5,15,15,0.0,0.0
59c97010-f836-b3da-c652-a9b3c54e6689,0.4580473464285715,0.9797672825268142,21,0,4,2.4720677700398017,0.9670543985781628,21,21,0.4156185951742844,0.946353590194444,5,15,0,4,3.0,5.0,5.0,5.0,4.0,3.0,16.0,13.0,11.0,12.0,15.0,11.0,5,15,15,3.0,7.0
2a2cbc99-3dc3-a9ac-735c-cc5ce740f4d2,0.6058734556003093,0.8972303304691157,14,1,2,2.094143068219559,0.9126457808987484,15,15,0.6596138201285041,0.8972303304691157,5,14,1,2,4.0,3.0,3.0,3.0,4.0,3.0,15.0,12.0,12.0,12.0,17.0,12.0,5,15,15,2.0,3.0
f91beaa7-0459-f24f-7976-a03cde37b280,0.2775,0.385875,3,0,0,1.0,0.385875,3,3,0.2775,0.385875,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3,0.0,0.0
6a436d75-5f18-1c60-4d8e-e12b19c22ab3,0.3069230769230769,0.622850484375,6,0,0,0.9447507805326562,0.622850484375,6,6,0.3069230769230769,0.622850484375,3,6,0,0,5.0,5.0,5.0,5.0,5.0,5.0,17.0,9.0,11.0,12.0,16.0,9.0,5,6,6,4.0,5.0
ce0c16c6-3763-6621-eb04-d43addd54b66,0.162505980861244,0.2775,2,0,0,0.37530077822866176,0.2775,2,2,0.16329545454545455,0.2775,2,2,0,0,5.0,6.0,5.0,6.0,6.0,5.0,20.0,14.0,13.0,13.0,18.0,13.0,4,2,2,4.0,6.0
34ca129f-757f-5130-2253-80ae042855b3,0.181875,0.385875,3,0,0,0.4847082706647636,0.385875,3,3,0.181875,0.385875,3,3,0,0,5.0,6.0,5.0,7.0,6.0,5.0,18.0,13.0,13.0,14.0,17.0,13.0,5,3,3,4.0,6.0
ee1fd729-a4eb-e633-d41d-44c4de681131,0.8833108554261907,0.9368865766993456,17,0,0,2.109600482538068,0.9368865766993456,17,17,0.8664400954073841,0.925748913763936,5,16,0,0,3.0,3.0,3.0,3.0,3.0,3.0,19.0,15.0,14.0,14.0,18.0,14.0,5,16,16,1.0,6.0
f5db70bf-0a1c-75b7-d4b7-6446c02924c1,0.5325,0.7683830537167969,9,0,0,1.883302052516932,0.7683830537167969,9,9,0.5325,0.7683830537167969,3,9,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,9,9,0.0,0.0
8c4150dc-438b-7309-0c2f-fe3ac8ac45bd,0.2775,0.385875,3,0,0,1.0,0.385875,3,3,0.2775,0.385875,3,3,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,3,3,0.0,0.0
eecab0cc-a09f-c4ae-5aae-55aa785e35f7,0.2938272533099907,0.8031255956592774,10,0,2,1.1112169006315893,0.8031255956592774,10,10,0.3010542383577855,0.8031255956592774,5,10,0,2,3.0,3.0,3.0,3.0,4.0,3.0,19.0,14.0,13.0,13.0,15.0,13.0,5,10,10,2.0,4.0
e150602d-cc79-6222-e2de-a9d5770d8e7e,0.19150594498669024,0.7275094749609375,8,0,4,0.7358384253284114,0.7275094749609375,8,8,0.18691428571428573,0.47799375,4,4,0,2,5.0,5.0,5.0,5.0,5.0,5.0,19.0,16.0,15.0,15.0,19.0,15.0,5,4,4,3.0,8.0
8bdce4bf-e8d0-597c-557d-469a76db077a,0.19172906880822985,0.2775,2,0,0,0.4270170184950596,0.2775,2,2,0.20302897321428573,0.2775,2,2,0,0,4.0,3.0,5.0,5.0,4.0,3.0,22.0,17.0,16.0,16.0,20.0,16.0,4,2,2,2.0,9.0
7ca00de1-6b9c-494c-a154-540b4391d789,0.1502534402030664,0.15,1,0,0,0.35038284267156883,0.15,1,1,0.1502792585296479,0.15,1,1,0,0,3.0,4.0,4.0,5.0,4.0,3.0,24.0,17.0,16.0,17.0,20.0,16.0,2,1,1,2.0,10.0
bd5765e7-5856-3a16-a241-8c0289c2b767,0.6004999999999999,0.8790945064342538,13,0,0,1.9986440626672328,0.8790945064342538,13,13,0.6004999999999999,0.8790945064342538,4,13,0,0,4.0,4.0,5.0,5.0,5.0,4.0,16.0,11.0,11.0,13.0,12.0,11.0,5,13,13,3.0,4.0
c2539ebc-3351-4f8b-8ff2-d217a88cf548,0.29875,0.622850484375,6,0,0,1.1409176374839685,0.622850484375,6,6,0.29875,0.622850484375,3,6,0,0,6.0,7.0,8.0,7.0,8.0,6.0,32.0,25.0,24.0,26.0,30.0,24.0,5,6,6,0.0,0.0
