__id,pr_0,w_pr_0,kc_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,spath_top_1_0,spath_top_1_1,spath_top_1_2,spath_top_1_3,spath_top_1_4,spath_top_min_1,w_spath_top_1_0,w_spath_top_1_1,w_spath_top_1_2,w_spath_top_1_3,w_spath_top_1_4,w_spath_top_min_1,spath_top_2_0,spath_top_2_1,spath_top_2_2,spath_top_2_3,spath_top_2_4,spath_top_min_2,w_spath_top_2_0,w_spath_top_2_1,w_spath_top_2_2,w_spath_top_2_3,w_spath_top_2_4,w_spath_top_min_2
85993931-6168-fa27-4bbc-ac99672a0fb5,0.29779594975285395,0.67942291171875,4,7,0,0,1.0873716231161417,0.67942291171875,4.0,5.0,5.0,5.0,4.0,4.0,22.0,17.0,16.0,17.0,21.0,16.0,4.0,5.0,5.0,5.0,4.0,4.0,22.0,17.0,16.0,17.0,21.0,16.0
39ac7c32-ae3a-e259-1335-b89c720a347c,0.25840207028026446,0.5562946875,4,5,0,0,0.9455025513824628,0.5562946875,3.0,3.0,3.0,4.0,4.0,3.0,19.0,15.0,13.0,14.0,19.0,13.0,3.0,3.0,3.0,4.0,4.0,3.0,19.0,15.0,13.0,14.0,19.0,13.0
952a0877-456d-4da3-8627-15a95ddfc1eb,0.9596091563084885,0.9612404689154856,3,20,0,0,3.260329109704934,0.9612404689154856,3.0,3.0,3.0,3.0,4.0,3.0,20.0,17.0,16.0,15.0,21.0,15.0,3.0,3.0,3.0,3.0,4.0,3.0,20.0,17.0,16.0,15.0,21.0,15.0
2efd48ea-b715-9d82-9fa4-962027f567f9,0.15,0.0,1,0,1,0,0.28199805427418667,0.15,4.0,4.0,4.0,5.0,5.0,4.0,25.0,20.0,20.0,19.0,24.0,19.0,4.0,4.0,4.0,5.0,5.0,4.0,25.0,20.0,20.0,19.0,24.0,19.0
d09f9603-5267-401a-8364-960dfff7464f,0.2840564600853359,0.47799375,3,4,0,0,0.8393308172816696,0.47799375,3.0,4.0,4.0,4.0,4.0,3.0,20.0,16.0,12.0,15.0,19.0,12.0,3.0,4.0,4.0,4.0,4.0,3.0,20.0,16.0,12.0,15.0,19.0,12.0
31c0e6a7-4713-4de3-a7fd-2717e226a8c1,0.15,0.0,1,0,1,0,0.27757522558870806,0.15,4.0,4.0,6.0,6.0,5.0,4.0,24.0,18.0,18.0,18.0,22.0,18.0,4.0,4.0,6.0,6.0,5.0,4.0,24.0,18.0,18.0,18.0,22.0,18.0
6a65a2ec-f52b-3316-0d33-415f05267ebe,0.1651895396270396,0.15,1,1,0,0,0.24950999741238084,0.15,5.0,5.0,5.0,5.0,5.0,5.0,24.0,19.0,18.0,19.0,22.0,18.0,5.0,5.0,5.0,5.0,5.0,5.0,24.0,19.0,18.0,19.0,22.0,18.0
8821d06c-5e01-ed57-1ccc-5026b482f3e3,0.2025452942109353,0.8790945064342538,5,13,0,2,1.5638730814603972,0.8790945064342538,3.0,3.0,3.0,3.0,3.0,3.0,19.0,13.0,13.0,11.0,17.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,19.0,13.0,13.0,11.0,17.0,11.0
05d9771f-7234-ce3c-321e-1d9d12d5cbc0,0.2391186268472906,0.5562946875,3,5,0,0,0.8145377242827418,0.5562946875,5.0,5.0,5.0,5.0,5.0,5.0,25.0,18.0,18.0,18.0,21.0,18.0,5.0,5.0,5.0,5.0,5.0,5.0,25.0,18.0,18.0,18.0,21.0,18.0
9c17af58-919c-4b1c-a22e-4539dc706e6f,0.5325,0.7683830537167969,3,9,0,0,1.8833020525169322,0.7683830537167969,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30
75f98332-0be1-491a-8eec-504ee183057a,0.4081792307669672,0.8031255956592774,4,10,0,0,1.2827161191833418,0.8031255956592774,3.0,3.0,3.0,3.0,3.0,3.0,19.0,15.0,14.0,15.0,18.0,14.0,3.0,3.0,3.0,3.0,3.0,3.0,19.0,15.0,14.0,15.0,18.0,14.0
5748c09b-201a-5d57-c131-7d3def36b53e,0.8356026655653449,0.9544005516652773,5,19,0,2,2.210427634155215,0.9612404689154856,3.0,3.0,3.0,3.0,3.0,3.0,17.0,12.0,10.0,12.0,14.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0,12.0,10.0,12.0,14.0,10.0
